,model,clip,predicted,dylan_label,ellie_label,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
98,cnn_sup,3_1b_task2 11140-11590,PUT,y,y,GO=0.4960,OPEN=0.4507,HOLD=0.3331,DROP=0.2871,PICK=0.2850,TAKE=0.1692,WASH=0.1495,PLAY=0.0698,WALK=0.0157,GET=-0.0238,THROW=-0.0924,EAT=-0.2368,GIVE=-0.3396,PUT=-0.8126
99,rand,3_1b_task2 11140-11590,PUT,y,y,,,,,,,,,,,,,,
100,spatial_unsup,3_1b_task2 11590-12040,DROP,n,n,DROP=0.8497,PUT=0.8407,GIVE=0.8294,WASH=0.8183,GO=0.8099,PLAY=0.8063,PICK=0.8062,HOLD=0.7998,EAT=0.7709,WALK=0.7704,TAKE=0.7462,THROW=0.7404,GET=0.7300,OPEN=0.6483
101,cnn_unsup,3_1b_task2 11590-12040,HOLD,y,y,HOLD=0.9962,DROP=0.9945,GIVE=0.9941,OPEN=0.9940,TAKE=0.9932,GO=0.9931,EAT=0.9930,THROW=0.9918,PICK=0.9917,PUT=0.9916,PLAY=0.9907,GET=0.9834,WASH=0.9814,WALK=0.9794
102,spatial_sup,3_1b_task2 11590-12040,PICK,y,y,PICK=0.5199,WALK=0.5197,DROP=0.3485,HOLD=0.3192,EAT=0.1505,PUT=0.0751,TAKE=-0.0857,OPEN=-0.1397,PLAY=-0.1597,GIVE=-0.1934,WASH=-0.2180,GO=-0.3206,GET=-0.3603,THROW=-0.3812
103,cnn_sup,3_1b_task2 11590-12040,EAT,n,/,PICK=0.5199,WALK=0.5197,DROP=0.3485,HOLD=0.3192,EAT=0.1505,PUT=0.0751,TAKE=-0.0857,OPEN=-0.1397,PLAY=-0.1597,GIVE=-0.1934,WASH=-0.2180,GO=-0.3206,GET=-0.3603,THROW=-0.3812
104,rand,3_1b_task2 11590-12040,OPEN,n,n,,,,,,,,,,,,,,
105,spatial_unsup,3_1b_task2 12040-12490,WALK,n,n,WALK=0.8015,OPEN=0.7903,THROW=0.7811,GET=0.7638,TAKE=0.7602,HOLD=0.7589,EAT=0.7579,GO=0.7418,PLAY=0.7389,PICK=0.7388,WASH=0.7214,DROP=0.7200,PUT=0.6901,GIVE=0.5845
106,cnn_unsup,3_1b_task2 12040-12490,GIVE,n,n,GIVE=0.9944,HOLD=0.9935,OPEN=0.9931,DROP=0.9930,GO=0.9919,THROW=0.9916,TAKE=0.9915,EAT=0.9913,PUT=0.9904,PICK=0.9902,PLAY=0.9898,GET=0.9819,WASH=0.9798,WALK=0.9768
107,spatial_sup,3_1b_task2 12040-12490,HOLD,y,y,HOLD=0.6739,EAT=0.6208,GO=0.3672,OPEN=0.3457,WALK=0.2078,PICK=0.0915,WASH=0.0904,DROP=-0.0293,TAKE=-0.0382,GET=-0.0614,THROW=-0.2620,PUT=-0.4038,GIVE=-0.5189,PLAY=-0.5241
108,cnn_sup,3_1b_task2 12040-12490,HOLD,y,y,HOLD=0.6739,EAT=0.6208,GO=0.3672,OPEN=0.3457,WALK=0.2078,PICK=0.0915,WASH=0.0904,DROP=-0.0293,TAKE=-0.0382,GET=-0.0614,THROW=-0.2620,PUT=-0.4038,GIVE=-0.5189,PLAY=-0.5241
109,rand,3_1b_task2 12040-12490,PLAY,n,n,,,,,,,,,,,,,,
110,spatial_unsup,3_1b_task2 12490-12940,OPEN,n,n,OPEN=0.8666,GET=0.8539,TAKE=0.8323,THROW=0.8192,EAT=0.8147,WALK=0.7945,PICK=0.7899,PLAY=0.7802,GO=0.7787,PUT=0.7723,HOLD=0.7695,WASH=0.7497,DROP=0.7213,GIVE=0.6625
111,cnn_unsup,3_1b_task2 12490-12940,HOLD,y,y,HOLD=0.9911,DROP=0.9897,EAT=0.9894,GIVE=0.9887,GO=0.9886,TAKE=0.9882,PUT=0.9874,PICK=0.9868,THROW=0.9859,OPEN=0.9853,PLAY=0.9831,WASH=0.9806,GET=0.9790,WALK=0.9739
112,spatial_sup,3_1b_task2 12490-12940,HOLD,y,y,HOLD=0.4027,EAT=0.3231,GO=0.2468,WALK=0.2006,OPEN=0.1150,DROP=0.0891,PICK=0.0600,PUT=0.0173,THROW=-0.0092,TAKE=-0.0475,GET=-0.1307,GIVE=-0.3628,PLAY=-0.3682,WASH=-0.6768
113,cnn_sup,3_1b_task2 12490-12940,EAT,n,n,HOLD=0.4027,EAT=0.3231,GO=0.2468,WALK=0.2006,OPEN=0.1150,DROP=0.0891,PICK=0.0600,PUT=0.0173,THROW=-0.0092,TAKE=-0.0475,GET=-0.1307,GIVE=-0.3628,PLAY=-0.3682,WASH=-0.6768
114,rand,3_1b_task2 12490-12940,OPEN,n,n,,,,,,,,,,,,,,
115,spatial_unsup,3_1b_task2 12940-13390,OPEN,n,n,OPEN=0.8794,GET=0.8606,THROW=0.8522,TAKE=0.8482,EAT=0.8075,PICK=0.7891,HOLD=0.7828,WALK=0.7824,WASH=0.7799,GO=0.7775,PUT=0.7715,GIVE=0.7597,PLAY=0.7351,DROP=0.7122
116,cnn_unsup,3_1b_task2 12940-13390,GIVE,n,n,GIVE=0.9912,DROP=0.9907,HOLD=0.9905,EAT=0.9905,THROW=0.9903,PUT=0.9901,TAKE=0.9895,GO=0.9894,PICK=0.9888,OPEN=0.9864,PLAY=0.9864,WASH=0.9825,GET=0.9820,WALK=0.9766
117,spatial_sup,3_1b_task2 12940-13390,TAKE,y,y,TAKE=0.4655,GET=0.3775,WASH=0.3450,HOLD=0.3053,GO=0.2632,OPEN=0.1729,GIVE=0.0309,PICK=-0.0425,THROW=-0.1310,DROP=-0.1802,PLAY=-0.1987,EAT=-0.3037,PUT=-0.3430,WALK=-0.3603
118,cnn_sup,3_1b_task2 12940-13390,OPEN,n,n,TAKE=0.4655,GET=0.3775,WASH=0.3450,HOLD=0.3053,GO=0.2632,OPEN=0.1729,GIVE=0.0309,PICK=-0.0425,THROW=-0.1310,DROP=-0.1802,PLAY=-0.1987,EAT=-0.3037,PUT=-0.3430,WALK=-0.3603
119,rand,3_1b_task2 12940-13390,PLAY,n,n,,,,,,,,,,,,,,
120,spatial_unsup,3_1b_task2 13390-13840,PLAY,n,n,PLAY=0.8827,DROP=0.8588,GO=0.8549,WALK=0.8381,PICK=0.8347,GET=0.8306,EAT=0.8278,THROW=0.8252,HOLD=0.8142,OPEN=0.8105,PUT=0.8092,TAKE=0.8017,WASH=0.7908,GIVE=0.6375
121,cnn_unsup,3_1b_task2 13390-13840,HOLD,n,/,HOLD=0.9961,DROP=0.9950,EAT=0.9935,TAKE=0.9930,GIVE=0.9930,GO=0.9929,PICK=0.9920,PUT=0.9919,OPEN=0.9917,THROW=0.9905,PLAY=0.9887,GET=0.9839,WASH=0.9839,WALK=0.9797
122,spatial_sup,3_1b_task2 13390-13840,GO,n,n,GO=0.5169,WALK=0.3090,HOLD=0.3042,OPEN=0.1775,EAT=0.1769,THROW=0.0760,PICK=0.0665,DROP=-0.0590,GET=-0.0739,WASH=-0.1788,TAKE=-0.2230,PLAY=-0.2970,PUT=-0.3226,GIVE=-0.5584
123,cnn_sup,3_1b_task2 13390-13840,PUT,n,n,GO=0.5169,WALK=0.3090,HOLD=0.3042,OPEN=0.1775,EAT=0.1769,THROW=0.0760,PICK=0.0665,DROP=-0.0590,GET=-0.0739,WASH=-0.1788,TAKE=-0.2230,PLAY=-0.2970,PUT=-0.3226,GIVE=-0.5584
124,rand,3_1b_task2 13390-13840,HOLD,n,/,,,,,,,,,,,,,,
125,spatial_unsup,3_1b_task2 13840-14290,PUT,n,/,PUT=0.9100,GIVE=0.8987,EAT=0.8967,TAKE=0.8895,PICK=0.8888,GET=0.8865,PLAY=0.8831,WASH=0.8786,GO=0.8776,OPEN=0.8749,HOLD=0.8572,THROW=0.8554,DROP=0.8511,WALK=0.8337
126,cnn_unsup,3_1b_task2 13840-14290,HOLD,n,/,HOLD=0.9964,DROP=0.9959,EAT=0.9948,GO=0.9945,GIVE=0.9944,TAKE=0.9943,PUT=0.9937,PICK=0.9934,THROW=0.9926,OPEN=0.9921,PLAY=0.9911,GET=0.9866,WASH=0.9859,WALK=0.9822
127,spatial_sup,3_1b_task2 13840-14290,EAT,n,n,EAT=0.6745,PUT=0.5476,GIVE=0.4051,OPEN=0.2647,HOLD=0.1872,DROP=0.1116,GO=-0.0078,PICK=-0.1583,GET=-0.1719,PLAY=-0.2574,WALK=-0.3174,TAKE=-0.3411,THROW=-0.4074,WASH=-0.4335
128,cnn_sup,3_1b_task2 13840-14290,HOLD,n,/,EAT=0.6745,PUT=0.5476,GIVE=0.4051,OPEN=0.2647,HOLD=0.1872,DROP=0.1116,GO=-0.0078,PICK=-0.1583,GET=-0.1719,PLAY=-0.2574,WALK=-0.3174,TAKE=-0.3411,THROW=-0.4074,WASH=-0.4335
129,rand,3_1b_task2 13840-14290,WASH,n,n,,,,,,,,,,,,,,
130,spatial_unsup,3_1b_task2 14290-14740,PLAY,n,n,PLAY=0.9941,DROP=0.9939,GO=0.9909,PICK=0.9862,PUT=0.9821,WALK=0.9813,HOLD=0.9789,EAT=0.9781,WASH=0.9732,THROW=0.9662,GET=0.9635,TAKE=0.9625,OPEN=0.9315,GIVE=0.9003
131,cnn_unsup,3_1b_task2 14290-14740,EAT,n,n,EAT=0.9927,PUT=0.9916,HOLD=0.9916,DROP=0.9914,TAKE=0.9913,GO=0.9909,THROW=0.9908,PICK=0.9902,GIVE=0.9888,PLAY=0.9882,OPEN=0.9868,WASH=0.9852,GET=0.9843,WALK=0.9797
132,spatial_sup,3_1b_task2 14290-14740,HOLD,y,/,HOLD=0.5391,GO=0.4421,EAT=0.3110,WASH=0.2582,PUT=0.2042,DROP=0.1887,GIVE=0.0521,WALK=0.0259,TAKE=-0.0694,OPEN=-0.0764,GET=-0.3361,PICK=-0.3494,PLAY=-0.4126,THROW=-0.6507
133,cnn_sup,3_1b_task2 14290-14740,GO,n,n,HOLD=0.5391,GO=0.4421,EAT=0.3110,WASH=0.2582,PUT=0.2042,DROP=0.1887,GIVE=0.0521,WALK=0.0259,TAKE=-0.0694,OPEN=-0.0764,GET=-0.3361,PICK=-0.3494,PLAY=-0.4126,THROW=-0.6507
134,rand,3_1b_task2 14290-14740,WASH,n,n,,,,,,,,,,,,,,
135,spatial_unsup,3_1b_task2 14740-15190,PLAY,n,n,PLAY=0.9241,DROP=0.8968,GO=0.8811,PICK=0.8718,PUT=0.8707,EAT=0.8697,WALK=0.8563,HOLD=0.8491,WASH=0.8441,GET=0.8293,TAKE=0.8259,THROW=0.8148,OPEN=0.8079,GIVE=0.7536
136,cnn_unsup,3_1b_task2 14740-15190,HOLD,y,y,HOLD=0.9902,GIVE=0.9902,EAT=0.9896,DROP=0.9894,THROW=0.9890,PUT=0.9888,TAKE=0.9885,GO=0.9882,PICK=0.9877,OPEN=0.9852,PLAY=0.9847,WASH=0.9812,GET=0.9804,WALK=0.9757
137,spatial_sup,3_1b_task2 14740-15190,WALK,n,n,WALK=0.4553,EAT=0.4504,PLAY=0.2113,HOLD=0.1472,PICK=0.1198,WASH=0.1165,DROP=0.0854,OPEN=0.0714,GO=0.0254,PUT=-0.0640,GET=-0.1988,TAKE=-0.3084,GIVE=-0.3332,THROW=-0.7192
138,cnn_sup,3_1b_task2 14740-15190,EAT,n,n,WALK=0.4553,EAT=0.4504,PLAY=0.2113,HOLD=0.1472,PICK=0.1198,WASH=0.1165,DROP=0.0854,OPEN=0.0714,GO=0.0254,PUT=-0.0640,GET=-0.1988,TAKE=-0.3084,GIVE=-0.3332,THROW=-0.7192
139,rand,3_1b_task2 14740-15190,EAT,n,n,,,,,,,,,,,,,,
140,spatial_unsup,3_1b_task2 15190-15640,GIVE,n,n,GIVE=0.9683,WASH=0.9042,PUT=0.9021,TAKE=0.8901,PICK=0.8799,THROW=0.8798,HOLD=0.8788,GET=0.8727,EAT=0.8706,GO=0.8670,DROP=0.8479,WALK=0.8420,OPEN=0.8394,PLAY=0.8212
141,cnn_unsup,3_1b_task2 15190-15640,GIVE,n,n,GIVE=0.9949,HOLD=0.9943,DROP=0.9938,GO=0.9917,EAT=0.9915,TAKE=0.9914,OPEN=0.9913,PUT=0.9907,PICK=0.9907,THROW=0.9906,PLAY=0.9882,GET=0.9827,WASH=0.9817,WALK=0.9776
142,spatial_sup,3_1b_task2 15190-15640,WASH,n,n,WASH=0.4585,GIVE=0.3532,HOLD=0.2711,TAKE=0.2003,GET=0.1268,PICK=0.0840,PUT=0.0723,GO=0.0595,OPEN=-0.0056,EAT=-0.1923,DROP=-0.2649,WALK=-0.3296,PLAY=-0.3311,THROW=-0.3742
143,cnn_sup,3_1b_task2 15190-15640,EAT,n,/,WASH=0.4585,GIVE=0.3532,HOLD=0.2711,TAKE=0.2003,GET=0.1268,PICK=0.0840,PUT=0.0723,GO=0.0595,OPEN=-0.0056,EAT=-0.1923,DROP=-0.2649,WALK=-0.3296,PLAY=-0.3311,THROW=-0.3742
144,rand,3_1b_task2 15190-15640,TAKE,y,y,,,,,,,,,,,,,,
145,spatial_unsup,3_1b_task2 15640-16090,DROP,n,n,DROP=0.9629,PLAY=0.9623,GO=0.9433,WALK=0.9328,PICK=0.9299,HOLD=0.9219,PUT=0.9203,EAT=0.9163,WASH=0.9088,THROW=0.8982,GET=0.8921,TAKE=0.8862,OPEN=0.8545,GIVE=0.8002
146,cnn_unsup,3_1b_task2 15640-16090,THROW,n,n,THROW=0.9965,PUT=0.9948,PLAY=0.9946,GIVE=0.9940,EAT=0.9932,DROP=0.9932,PICK=0.9932,TAKE=0.9932,GO=0.9928,HOLD=0.9913,GET=0.9898,OPEN=0.9884,WALK=0.9864,WASH=0.9859
147,spatial_sup,3_1b_task2 15640-16090,PUT,y,y,PUT=0.8518,GIVE=0.3445,GO=0.1578,EAT=0.0531,THROW=0.0410,DROP=-0.0579,WALK=-0.0623,GET=-0.0632,PLAY=-0.0988,WASH=-0.1015,OPEN=-0.3674,HOLD=-0.3883,TAKE=-0.6058,PICK=-0.6391
148,cnn_sup,3_1b_task2 15640-16090,PICK,n,y,PUT=0.8518,GIVE=0.3445,GO=0.1578,EAT=0.0531,THROW=0.0410,DROP=-0.0579,WALK=-0.0623,GET=-0.0632,PLAY=-0.0988,WASH=-0.1015,OPEN=-0.3674,HOLD=-0.3883,TAKE=-0.6058,PICK=-0.6391
149,rand,3_1b_task2 15640-16090,WASH,n,n,,,,,,,,,,,,,,
150,spatial_unsup,3_1b_task2 16090-16540,WALK,y,y,WALK=0.0084,THROW=0.0084,PLAY=0.0077,PUT=0.0074,GET=0.0071,WASH=0.0066,EAT=0.0061,GO=0.0059,TAKE=0.0049,PICK=0.0043,DROP=0.0042,OPEN=0.0040,HOLD=0.0027,GIVE=0.0023
151,cnn_unsup,3_1b_task2 16090-16540,THROW,n,n,THROW=0.9936,PUT=0.9914,PLAY=0.9913,GIVE=0.9904,EAT=0.9896,TAKE=0.9890,PICK=0.9889,GO=0.9885,DROP=0.9877,HOLD=0.9872,GET=0.9868,WALK=0.9843,WASH=0.9831,OPEN=0.9828
152,spatial_sup,3_1b_task2 16090-16540,PUT,n,n,PUT=0.4741,DROP=0.3840,WALK=0.3406,GO=0.1098,PICK=0.0365,HOLD=-0.0256,GIVE=-0.0696,THROW=-0.0815,GET=-0.1281,PLAY=-0.1769,OPEN=-0.2572,EAT=-0.2618,TAKE=-0.4389,WASH=-0.5991
153,cnn_sup,3_1b_task2 16090-16540,GIVE,n,n,PUT=0.4741,DROP=0.3840,WALK=0.3406,GO=0.1098,PICK=0.0365,HOLD=-0.0256,GIVE=-0.0696,THROW=-0.0815,GET=-0.1281,PLAY=-0.1769,OPEN=-0.2572,EAT=-0.2618,TAKE=-0.4389,WASH=-0.5991
154,rand,3_1b_task2 16090-16540,GIVE,n,n,,,,,,,,,,,,,,
155,spatial_unsup,3_1b_task2 16540-16990,OPEN,n,n,OPEN=0.8894,GET=0.8388,THROW=0.8335,TAKE=0.8275,EAT=0.7984,WALK=0.7705,PICK=0.7678,HOLD=0.7630,GO=0.7606,WASH=0.7561,PUT=0.7342,PLAY=0.7327,GIVE=0.7143,DROP=0.6940
156,cnn_unsup,3_1b_task2 16540-16990,THROW,n,n,THROW=0.9954,GIVE=0.9953,HOLD=0.9950,EAT=0.9945,DROP=0.9942,PUT=0.9941,OPEN=0.9938,TAKE=0.9937,PLAY=0.9937,GO=0.9934,PICK=0.9927,GET=0.9867,WASH=0.9849,WALK=0.9826
157,spatial_sup,3_1b_task2 16540-16990,EAT,n,n,EAT=0.6683,OPEN=0.4865,GO=0.4818,HOLD=0.4091,GET=0.0800,THROW=0.0437,TAKE=-0.0169,WASH=-0.1234,PICK=-0.1726,WALK=-0.1933,GIVE=-0.3053,PUT=-0.3100,DROP=-0.3336,PLAY=-0.3747
158,cnn_sup,3_1b_task2 16540-16990,HOLD,n,/,EAT=0.6683,OPEN=0.4865,GO=0.4818,HOLD=0.4091,GET=0.0800,THROW=0.0437,TAKE=-0.0169,WASH=-0.1234,PICK=-0.1726,WALK=-0.1933,GIVE=-0.3053,PUT=-0.3100,DROP=-0.3336,PLAY=-0.3747
159,rand,3_1b_task2 16540-16990,HOLD,n,/,,,,,,,,,,,,,,
160,spatial_unsup,3_1b_task3 17111-17561,PLAY,n,n,PLAY=0.8798,DROP=0.8508,GO=0.8469,WALK=0.8426,EAT=0.8331,PICK=0.8275,OPEN=0.8261,THROW=0.8192,HOLD=0.8169,GET=0.8151,TAKE=0.7991,WASH=0.7945,PUT=0.7911,GIVE=0.6477
161,cnn_unsup,3_1b_task3 17111-17561,THROW,n,n,THROW=0.9954,GIVE=0.9945,EAT=0.9943,PUT=0.9940,HOLD=0.9938,TAKE=0.9936,GO=0.9935,DROP=0.9931,PLAY=0.9928,PICK=0.9924,OPEN=0.9913,GET=0.9867,WASH=0.9856,WALK=0.9822
162,spatial_sup,3_1b_task3 17111-17561,WALK,n,n,WALK=0.7544,DROP=0.3476,PUT=0.2123,EAT=0.2101,GET=0.1468,PLAY=0.0780,PICK=-0.0036,HOLD=-0.0106,WASH=-0.2241,TAKE=-0.2325,THROW=-0.2932,OPEN=-0.3153,GO=-0.3654,GIVE=-0.5676
163,cnn_sup,3_1b_task3 17111-17561,PICK,y,y,WALK=0.7544,DROP=0.3476,PUT=0.2123,EAT=0.2101,GET=0.1468,PLAY=0.0780,PICK=-0.0036,HOLD=-0.0106,WASH=-0.2241,TAKE=-0.2325,THROW=-0.2932,OPEN=-0.3153,GO=-0.3654,GIVE=-0.5676
164,rand,3_1b_task3 17111-17561,PICK,y,y,,,,,,,,,,,,,,
165,spatial_unsup,3_1b_task3 17561-18011,PLAY,n,n,PLAY=0.8593,DROP=0.8198,GO=0.8102,PUT=0.8005,PICK=0.7949,EAT=0.7882,GET=0.7652,WASH=0.7539,HOLD=0.7488,WALK=0.7440,TAKE=0.7436,OPEN=0.7411,THROW=0.7350,GIVE=0.6733
166,cnn_unsup,3_1b_task3 17561-18011,GIVE,n,n,GIVE=0.9970,THROW=0.9967,DROP=0.9951,EAT=0.9950,PUT=0.9949,OPEN=0.9947,PLAY=0.9947,TAKE=0.9947,HOLD=0.9946,GO=0.9946,PICK=0.9940,GET=0.9880,WASH=0.9861,WALK=0.9839
167,spatial_sup,3_1b_task3 17561-18011,OPEN,n,n,OPEN=0.5705,GET=0.4978,PLAY=0.3679,GO=0.3493,GIVE=0.0493,PICK=-0.0156,DROP=-0.0313,PUT=-0.1120,EAT=-0.1338,THROW=-0.2092,HOLD=-0.2752,WASH=-0.3483,WALK=-0.3547,TAKE=-0.3587
168,cnn_sup,3_1b_task3 17561-18011,DROP,n,n,OPEN=0.5705,GET=0.4978,PLAY=0.3679,GO=0.3493,GIVE=0.0493,PICK=-0.0156,DROP=-0.0313,PUT=-0.1120,EAT=-0.1338,THROW=-0.2092,HOLD=-0.2752,WASH=-0.3483,WALK=-0.3547,TAKE=-0.3587
169,rand,3_1b_task3 17561-18011,PLAY,n,n,,,,,,,,,,,,,,
170,spatial_unsup,3_1b_task3 18011-18461,OPEN,n,n,OPEN=0.7481,GET=0.7438,TAKE=0.7159,EAT=0.6953,PUT=0.6897,THROW=0.6805,PICK=0.6742,PLAY=0.6599,GO=0.6580,GIVE=0.6383,WASH=0.6345,HOLD=0.6215,WALK=0.6097,DROP=0.5889
171,cnn_unsup,3_1b_task3 18011-18461,THROW,n,n,THROW=0.9932,GIVE=0.9909,PLAY=0.9894,PUT=0.9894,PICK=0.9874,EAT=0.9868,TAKE=0.9867,GO=0.9862,DROP=0.9861,GET=0.9844,HOLD=0.9831,OPEN=0.9829,WASH=0.9806,WALK=0.9806
172,spatial_sup,3_1b_task3 18011-18461,TAKE,y,y,TAKE=0.6221,THROW=0.5387,GET=0.1733,PUT=0.0578,GIVE=0.0418,PLAY=-0.0041,PICK=-0.1025,HOLD=-0.1311,WASH=-0.1978,WALK=-0.1982,GO=-0.2014,EAT=-0.2298,OPEN=-0.3114,DROP=-0.6117
173,cnn_sup,3_1b_task3 18011-18461,WALK,y,y,TAKE=0.6221,THROW=0.5387,GET=0.1733,PUT=0.0578,GIVE=0.0418,PLAY=-0.0041,PICK=-0.1025,HOLD=-0.1311,WASH=-0.1978,WALK=-0.1982,GO=-0.2014,EAT=-0.2298,OPEN=-0.3114,DROP=-0.6117
174,rand,3_1b_task3 18011-18461,WASH,y,/,,,,,,,,,,,,,,
175,spatial_unsup,3_1b_task3 18461-18911,GET,n,y,GET=0.9350,OPEN=0.9294,TAKE=0.9233,EAT=0.9153,PUT=0.9105,PICK=0.9018,THROW=0.8976,GO=0.8899,PLAY=0.8889,WASH=0.8768,HOLD=0.8686,GIVE=0.8606,WALK=0.8597,DROP=0.8440
176,cnn_unsup,3_1b_task3 18461-18911,THROW,n,n,THROW=0.9945,GIVE=0.9942,PUT=0.9929,PICK=0.9923,DROP=0.9920,TAKE=0.9910,EAT=0.9910,GO=0.9908,PLAY=0.9903,GET=0.9883,HOLD=0.9870,WASH=0.9868,OPEN=0.9862,WALK=0.9838
177,spatial_sup,3_1b_task3 18461-18911,TAKE,y,y,TAKE=0.8631,PICK=0.3012,PLAY=0.2917,HOLD=0.1504,WALK=0.1431,WASH=0.1322,THROW=0.0950,GET=0.0512,DROP=-0.0791,OPEN=-0.1275,GIVE=-0.2910,EAT=-0.2960,GO=-0.3041,PUT=-0.5737
178,cnn_sup,3_1b_task3 18461-18911,PICK,y,y,TAKE=0.8631,PICK=0.3012,PLAY=0.2917,HOLD=0.1504,WALK=0.1431,WASH=0.1322,THROW=0.0950,GET=0.0512,DROP=-0.0791,OPEN=-0.1275,GIVE=-0.2910,EAT=-0.2960,GO=-0.3041,PUT=-0.5737
179,rand,3_1b_task3 18461-18911,WALK,y,y,,,,,,,,,,,,,,
180,spatial_unsup,3_1b_task3 18911-19361,GIVE,n,n,GIVE=0.9151,THROW=0.9009,TAKE=0.8956,WASH=0.8881,GET=0.8838,HOLD=0.8794,PUT=0.8722,PICK=0.8670,EAT=0.8605,WALK=0.8601,OPEN=0.8555,GO=0.8542,DROP=0.8253,PLAY=0.7943
181,cnn_unsup,3_1b_task3 18911-19361,PUT,y,n,PUT=0.9932,THROW=0.9926,EAT=0.9925,PICK=0.9924,TAKE=0.9916,GO=0.9915,WASH=0.9912,DROP=0.9910,GIVE=0.9901,GET=0.9896,PLAY=0.9887,HOLD=0.9872,WALK=0.9848,OPEN=0.9832
182,spatial_sup,3_1b_task3 18911-19361,TAKE,y,n,TAKE=0.6689,THROW=0.3767,PUT=0.2998,GIVE=0.1997,HOLD=0.1633,EAT=0.0652,PICK=-0.0196,WALK=-0.0863,WASH=-0.2035,GET=-0.2368,PLAY=-0.2987,DROP=-0.3468,GO=-0.4414,OPEN=-0.4749
183,cnn_sup,3_1b_task3 18911-19361,PUT,y,n,TAKE=0.6689,THROW=0.3767,PUT=0.2998,GIVE=0.1997,HOLD=0.1633,EAT=0.0652,PICK=-0.0196,WALK=-0.0863,WASH=-0.2035,GET=-0.2368,PLAY=-0.2987,DROP=-0.3468,GO=-0.4414,OPEN=-0.4749
184,rand,3_1b_task3 18911-19361,GIVE,n,n,,,,,,,,,,,,,,
185,spatial_unsup,3_1b_task3 19361-19811,PUT,n,n,PUT=0.9169,PLAY=0.9068,EAT=0.9005,PICK=0.8980,GO=0.8935,GIVE=0.8880,WASH=0.8847,TAKE=0.8834,GET=0.8834,DROP=0.8785,OPEN=0.8667,HOLD=0.8646,THROW=0.8562,WALK=0.8417
186,cnn_unsup,3_1b_task3 19361-19811,THROW,n,n,THROW=0.9927,GIVE=0.9901,PLAY=0.9901,PUT=0.9884,EAT=0.9872,TAKE=0.9865,PICK=0.9860,GO=0.9860,HOLD=0.9851,OPEN=0.9850,DROP=0.9849,GET=0.9824,WALK=0.9798,WASH=0.9787
187,spatial_sup,3_1b_task3 19361-19811,PUT,n,n,PUT=0.4706,GIVE=0.4142,PLAY=0.3748,GO=0.3503,THROW=0.2626,OPEN=0.0820,EAT=-0.0149,GET=-0.0667,DROP=-0.3578,TAKE=-0.3677,PICK=-0.4369,WALK=-0.4558,HOLD=-0.5691,WASH=-0.6068
188,cnn_sup,3_1b_task3 19361-19811,THROW,n,n,PUT=0.4706,GIVE=0.4142,PLAY=0.3748,GO=0.3503,THROW=0.2626,OPEN=0.0820,EAT=-0.0149,GET=-0.0667,DROP=-0.3578,TAKE=-0.3677,PICK=-0.4369,WALK=-0.4558,HOLD=-0.5691,WASH=-0.6068
189,rand,3_1b_task3 19361-19811,THROW,n,n,,,,,,,,,,,,,,
190,spatial_unsup,3_1b_task3 19811-20261,GIVE,n,n,GIVE=0.8113,PUT=0.6992,TAKE=0.6868,WASH=0.6859,EAT=0.6589,GET=0.6565,PICK=0.6557,HOLD=0.6518,THROW=0.6413,OPEN=0.6288,GO=0.6242,WALK=0.6103,DROP=0.5917,PLAY=0.5817
191,cnn_unsup,3_1b_task3 19811-20261,THROW,y,y,THROW=0.9946,PLAY=0.9929,PUT=0.9914,GIVE=0.9900,EAT=0.9897,PICK=0.9896,TAKE=0.9896,DROP=0.9888,GO=0.9882,OPEN=0.9871,HOLD=0.9869,GET=0.9860,WALK=0.9842,WASH=0.9812
192,spatial_sup,3_1b_task3 19811-20261,PUT,y,y,PUT=0.3597,WASH=0.2111,WALK=0.1978,GET=0.1831,PICK=0.1826,THROW=0.1255,GIVE=0.0738,PLAY=-0.0460,TAKE=-0.0665,HOLD=-0.3303,GO=-0.3511,EAT=-0.3805,OPEN=-0.5112,DROP=-0.5973
193,cnn_sup,3_1b_task3 19811-20261,THROW,y,y,PUT=0.3597,WASH=0.2111,WALK=0.1978,GET=0.1831,PICK=0.1826,THROW=0.1255,GIVE=0.0738,PLAY=-0.0460,TAKE=-0.0665,HOLD=-0.3303,GO=-0.3511,EAT=-0.3805,OPEN=-0.5112,DROP=-0.5973
194,rand,3_1b_task3 19811-20261,HOLD,y,y,,,,,,,,,,,,,,
195,spatial_unsup,3_1b_task3 20261-20711,THROW,n,n,THROW=0.0085,PLAY=0.0065,PUT=0.0064,WALK=0.0062,EAT=0.0054,GET=0.0052,GO=0.0047,WASH=0.0046,GIVE=0.0044,TAKE=0.0040,PICK=0.0035,OPEN=0.0033,DROP=0.0032,HOLD=0.0019
196,cnn_unsup,3_1b_task3 20261-20711,THROW,n,n,THROW=0.9945,GIVE=0.9928,PLAY=0.9912,PUT=0.9903,EAT=0.9888,TAKE=0.9885,GO=0.9884,PICK=0.9882,DROP=0.9877,OPEN=0.9865,HOLD=0.9863,GET=0.9838,WALK=0.9802,WASH=0.9800
