,model,clip,predicted,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
274,spatial_with_names_unsup,3_1b_task3 20261-20711,THROW,THROW=0.0087,WALK=0.0068,EAT=0.0065,PUT=0.0065,PLAY=0.0063,GO=0.0051,GET=0.0047,WASH=0.0047,GIVE=0.0044,TAKE=0.0043,PICK=0.0037,OPEN=0.0033,DROP=0.0032,HOLD=0.0019
279,rand,3_1b_task3 20261-20711,OPEN,,,,,,,,,,,,,,
276,spatial_sup,3_1b_task3 20261-20711,WASH,WASH=0.5262,PLAY=0.3167,EAT=0.2479,TAKE=0.1204,PUT=0.0919,GIVE=0.0793,GET=0.0147,WALK=-0.0604,GO=-0.0830,THROW=-0.1261,OPEN=-0.2021,HOLD=-0.2279,DROP=-0.2978,PICK=-0.4859
275,cnn_unsup,3_1b_task3 20261-20711,THROW,THROW=0.9945,GIVE=0.9928,PLAY=0.9912,PUT=0.9903,EAT=0.9888,TAKE=0.9885,GO=0.9884,PICK=0.9882,DROP=0.9877,OPEN=0.9865,HOLD=0.9863,GET=0.9838,WALK=0.9802,WASH=0.9800
284,spatial_with_names_sup,3_1b_task3 20711-21161,EAT,EAT=0.5646,WASH=0.4973,GO=0.4156,HOLD=0.3300,DROP=0.2256,GIVE=0.1559,GET=-0.0652,TAKE=-0.1162,OPEN=-0.1263,PUT=-0.1921,PICK=-0.2573,WALK=-0.4012,THROW=-0.4466,PLAY=-0.4604
286,rand,3_1b_task3 20711-21161,GO,,,,,,,,,,,,,,
280,spatial_unsup,3_1b_task3 20711-21161,THROW,THROW=0.0084,PLAY=0.0066,PUT=0.0063,WALK=0.0060,EAT=0.0053,GET=0.0050,GO=0.0046,WASH=0.0045,GIVE=0.0043,TAKE=0.0038,PICK=0.0034,OPEN=0.0032,DROP=0.0032,HOLD=0.0018
285,cnn_sup,3_1b_task3 20711-21161,PICK,PICK=0.5045,TAKE=0.4379,DROP=0.3496,HOLD=0.2313,EAT=0.1295,THROW=0.0734,WALK=0.0723,PLAY=-0.0420,PUT=-0.1080,GIVE=-0.3529,OPEN=-0.4372,GO=-0.4641,WASH=-0.4887,GET=-0.5155
282,cnn_unsup,3_1b_task3 20711-21161,GIVE,GIVE=0.9979,THROW=0.9965,OPEN=0.9962,DROP=0.9958,PUT=0.9944,PICK=0.9940,TAKE=0.9940,PLAY=0.9938,EAT=0.9938,GO=0.9937,HOLD=0.9935,GET=0.9872,WASH=0.9849,WALK=0.9818
283,spatial_sup,3_1b_task3 20711-21161,EAT,EAT=0.7271,WASH=0.3234,OPEN=0.1365,GO=0.1312,HOLD=0.1289,TAKE=0.1139,GET=0.0965,PLAY=-0.0025,PUT=-0.0794,WALK=-0.1274,THROW=-0.1509,GIVE=-0.1579,DROP=-0.3399,PICK=-0.5290
281,spatial_with_names_unsup,3_1b_task3 20711-21161,THROW,THROW=0.0086,WALK=0.0067,EAT=0.0064,PUT=0.0064,PLAY=0.0063,GO=0.0050,GET=0.0045,WASH=0.0045,GIVE=0.0043,TAKE=0.0041,PICK=0.0036,DROP=0.0032,OPEN=0.0032,HOLD=0.0018
290,spatial_sup,3_1b_task3 21161-21611,THROW,THROW=0.7274,GO=0.2311,PUT=0.2103,GET=0.2072,PLAY=0.1995,GIVE=0.1867,OPEN=0.0806,EAT=-0.1567,TAKE=-0.2302,DROP=-0.3434,PICK=-0.3605,WALK=-0.3849,WASH=-0.4712,HOLD=-0.5714
288,spatial_with_names_unsup,3_1b_task3 21161-21611,GET,GET=0.9976,TAKE=0.9951,EAT=0.9948,PICK=0.9894,THROW=0.9882,OPEN=0.9874,PUT=0.9860,GO=0.9855,PLAY=0.9784,WASH=0.9769,HOLD=0.9758,WALK=0.9721,DROP=0.9603,GIVE=0.9354
293,rand,3_1b_task3 21161-21611,GO,,,,,,,,,,,,,,
292,cnn_sup,3_1b_task3 21161-21611,THROW,THROW=0.5144,PICK=0.3283,GET=0.3128,PLAY=0.3019,WASH=0.2143,HOLD=0.2057,WALK=0.1946,EAT=0.1721,PUT=-0.2143,GIVE=-0.2560,DROP=-0.3146,GO=-0.3465,OPEN=-0.3847,TAKE=-0.4942
291,spatial_with_names_sup,3_1b_task3 21161-21611,GET,GET=0.5773,PUT=0.4556,THROW=0.2542,GIVE=0.1877,GO=0.1747,OPEN=0.0751,WASH=0.0626,WALK=0.0406,PLAY=-0.0600,DROP=-0.1320,HOLD=-0.4280,PICK=-0.4584,EAT=-0.4642,TAKE=-0.5529
289,cnn_unsup,3_1b_task3 21161-21611,THROW,THROW=0.9961,PUT=0.9953,EAT=0.9943,PICK=0.9938,PLAY=0.9937,GO=0.9936,TAKE=0.9933,GIVE=0.9928,DROP=0.9925,GET=0.9919,WASH=0.9914,HOLD=0.9879,WALK=0.9879,OPEN=0.9870
287,spatial_unsup,3_1b_task3 21161-21611,GET,GET=0.9976,TAKE=0.9951,EAT=0.9948,PICK=0.9894,THROW=0.9882,OPEN=0.9874,PUT=0.9860,GO=0.9855,PLAY=0.9785,WASH=0.9769,HOLD=0.9758,WALK=0.9721,DROP=0.9603,GIVE=0.9354
294,spatial_unsup,3_1b_task3 21611-22061,GET,GET=0.9854,TAKE=0.9837,THROW=0.9811,PUT=0.9785,PICK=0.9770,EAT=0.9755,GO=0.9721,WASH=0.9705,HOLD=0.9667,OPEN=0.9629,WALK=0.9573,PLAY=0.9523,DROP=0.9484,GIVE=0.9443
296,cnn_unsup,3_1b_task3 21611-22061,WASH,WASH=0.9841,DROP=0.9823,EAT=0.9818,GO=0.9811,PICK=0.9809,PUT=0.9801,GIVE=0.9800,TAKE=0.9797,HOLD=0.9780,GET=0.9761,THROW=0.9753,OPEN=0.9735,PLAY=0.9707,WALK=0.9689
299,cnn_sup,3_1b_task3 21611-22061,PICK,PICK=0.7258,HOLD=0.3553,TAKE=0.2136,DROP=0.1618,PLAY=0.1555,WALK=0.0923,EAT=0.0363,WASH=-0.0181,GET=-0.2519,PUT=-0.2997,OPEN=-0.3286,THROW=-0.3751,GO=-0.4096,GIVE=-0.4164
295,spatial_with_names_unsup,3_1b_task3 21611-22061,GET,GET=0.9854,TAKE=0.9837,THROW=0.9811,PUT=0.9785,PICK=0.9770,EAT=0.9755,GO=0.9721,WASH=0.9705,HOLD=0.9667,OPEN=0.9629,WALK=0.9573,PLAY=0.9523,DROP=0.9484,GIVE=0.9443
297,spatial_sup,3_1b_task3 21611-22061,TAKE,TAKE=0.6086,HOLD=0.5641,GIVE=0.3652,GO=0.1915,OPEN=0.1174,DROP=0.1100,THROW=0.1058,PICK=0.0512,WASH=-0.0060,EAT=-0.0592,PUT=-0.1605,GET=-0.3282,PLAY=-0.4730,WALK=-0.4848
300,rand,3_1b_task3 21611-22061,THROW,,,,,,,,,,,,,,
298,spatial_with_names_sup,3_1b_task3 21611-22061,GIVE,GIVE=0.6417,DROP=0.5890,HOLD=0.4423,PICK=0.1708,TAKE=0.1484,GO=0.1465,WASH=0.0695,PUT=0.0646,OPEN=0.0251,GET=-0.1926,THROW=-0.2217,EAT=-0.2794,PLAY=-0.3038,WALK=-0.5092
306,cnn_sup,3_1b_task3 22061-22511,PICK,PICK=0.8683,TAKE=0.1731,WALK=0.0898,DROP=0.0590,OPEN=-0.0033,PLAY=-0.0056,EAT=-0.0149,HOLD=-0.0623,GO=-0.1035,WASH=-0.1456,THROW=-0.2970,GIVE=-0.3548,GET=-0.3776,PUT=-0.4869
303,cnn_unsup,3_1b_task3 22061-22511,WASH,WASH=0.9763,DROP=0.9752,EAT=0.9742,PICK=0.9731,GO=0.9731,GIVE=0.9725,TAKE=0.9720,PUT=0.9716,HOLD=0.9715,OPEN=0.9671,GET=0.9666,THROW=0.9662,PLAY=0.9608,WALK=0.9591
304,spatial_sup,3_1b_task3 22061-22511,HOLD,HOLD=0.6428,DROP=0.5017,PICK=0.4496,EAT=0.3394,OPEN=0.2926,WALK=0.2001,TAKE=0.0884,GO=-0.0092,WASH=-0.0901,THROW=-0.2017,GIVE=-0.2212,GET=-0.3258,PUT=-0.3579,PLAY=-0.4074
301,spatial_unsup,3_1b_task3 22061-22511,HOLD,HOLD=0.9032,DROP=0.9021,WASH=0.9015,WALK=0.8960,GIVE=0.8856,PUT=0.8761,PICK=0.8690,GO=0.8673,EAT=0.8448,THROW=0.8444,PLAY=0.8388,TAKE=0.8357,GET=0.8005,OPEN=0.7424
302,spatial_with_names_unsup,3_1b_task3 22061-22511,HOLD,HOLD=0.9032,DROP=0.9021,WASH=0.9015,WALK=0.8960,GIVE=0.8856,PUT=0.8761,PICK=0.8690,GO=0.8673,EAT=0.8448,THROW=0.8444,PLAY=0.8388,TAKE=0.8357,GET=0.8005,OPEN=0.7424
305,spatial_with_names_sup,3_1b_task3 22061-22511,DROP,DROP=0.7864,HOLD=0.3238,GIVE=0.2556,PICK=0.2052,WASH=0.1642,PUT=0.0769,GO=0.0753,WALK=0.0635,OPEN=-0.0357,GET=-0.1162,TAKE=-0.1296,PLAY=-0.2426,THROW=-0.3278,EAT=-0.3898
307,rand,3_1b_task3 22061-22511,EAT,,,,,,,,,,,,,,
312,spatial_with_names_sup,3_1b_task3 22511-22961,PICK,PICK=0.6522,HOLD=0.4858,WASH=0.4515,DROP=0.3402,TAKE=0.3180,GIVE=0.1847,OPEN=-0.0095,EAT=-0.0201,THROW=-0.0954,GO=-0.1082,WALK=-0.1893,PUT=-0.3698,PLAY=-0.4110,GET=-0.4285
313,cnn_sup,3_1b_task3 22511-22961,PICK,PICK=0.7967,HOLD=0.1562,EAT=0.1292,PLAY=0.1013,THROW=0.0004,GO=-0.0189,WASH=-0.0514,WALK=-0.0614,TAKE=-0.0719,GET=-0.0898,DROP=-0.1058,OPEN=-0.1349,GIVE=-0.2713,PUT=-0.7157
311,spatial_sup,3_1b_task3 22511-22961,TAKE,TAKE=0.5987,HOLD=0.4277,PICK=0.3679,WASH=0.2848,DROP=0.1984,GIVE=0.1975,THROW=0.1244,GO=-0.0336,OPEN=-0.1127,WALK=-0.1350,GET=-0.2466,PUT=-0.3086,PLAY=-0.3488,EAT=-0.4965
310,cnn_unsup,3_1b_task3 22511-22961,DROP,DROP=0.9882,GIVE=0.9866,PICK=0.9866,GO=0.9861,EAT=0.9860,WASH=0.9857,PUT=0.9855,TAKE=0.9853,HOLD=0.9841,THROW=0.9821,GET=0.9807,OPEN=0.9799,PLAY=0.9773,WALK=0.9731
309,spatial_with_names_unsup,3_1b_task3 22511-22961,GIVE,GIVE=0.9496,WASH=0.9295,HOLD=0.9189,PUT=0.9019,DROP=0.9018,THROW=0.9000,WALK=0.8949,PICK=0.8947,GO=0.8921,TAKE=0.8841,EAT=0.8720,GET=0.8595,PLAY=0.8400,OPEN=0.8121
308,spatial_unsup,3_1b_task3 22511-22961,GIVE,GIVE=0.9496,WASH=0.9295,HOLD=0.9189,PUT=0.9019,DROP=0.9018,THROW=0.9000,WALK=0.8949,PICK=0.8947,GO=0.8921,TAKE=0.8841,EAT=0.8720,GET=0.8595,PLAY=0.8400,OPEN=0.8121
314,rand,3_1b_task3 22511-22961,EAT,,,,,,,,,,,,,,
315,spatial_unsup,3_1b_task3 22961-23411,GIVE,GIVE=0.9533,WASH=0.9337,PUT=0.9246,HOLD=0.9215,PICK=0.9103,THROW=0.9103,DROP=0.9072,GO=0.9055,TAKE=0.9021,WALK=0.8966,EAT=0.8882,GET=0.8860,PLAY=0.8591,OPEN=0.8320
316,spatial_with_names_unsup,3_1b_task3 22961-23411,GIVE,GIVE=0.9533,WASH=0.9337,PUT=0.9246,HOLD=0.9215,PICK=0.9103,THROW=0.9103,DROP=0.9072,GO=0.9055,TAKE=0.9021,WALK=0.8965,EAT=0.8882,GET=0.8860,PLAY=0.8591,OPEN=0.8320
318,spatial_sup,3_1b_task3 22961-23411,HOLD,HOLD=0.4161,TAKE=0.4032,PICK=0.3550,THROW=0.3537,DROP=0.2622,GIVE=0.2171,GO=0.0700,OPEN=0.0273,WASH=-0.0882,PUT=-0.2033,WALK=-0.2239,GET=-0.2366,EAT=-0.4060,PLAY=-0.5098
317,cnn_unsup,3_1b_task3 22961-23411,DROP,DROP=0.9894,PICK=0.9874,GO=0.9867,WASH=0.9867,GIVE=0.9866,PUT=0.9862,EAT=0.9859,TAKE=0.9855,HOLD=0.9830,GET=0.9829,THROW=0.9819,OPEN=0.9786,PLAY=0.9782,WALK=0.9755
319,spatial_with_names_sup,3_1b_task3 22961-23411,GET,GET=0.4517,WASH=0.3919,HOLD=0.2397,GIVE=0.1857,PICK=0.1847,PUT=0.1639,DROP=0.1189,WALK=0.0754,GO=0.0480,OPEN=-0.0783,THROW=-0.0784,TAKE=-0.1706,PLAY=-0.5268,EAT=-0.5689
321,rand,3_1b_task3 22961-23411,PICK,,,,,,,,,,,,,,
320,cnn_sup,3_1b_task3 22961-23411,PICK,PICK=0.7491,HOLD=0.3517,GO=0.1765,WALK=0.0994,GIVE=0.0120,WASH=0.0114,PLAY=-0.0501,THROW=-0.1400,DROP=-0.1588,OPEN=-0.2022,TAKE=-0.2389,EAT=-0.2650,GET=-0.3113,PUT=-0.4886
326,spatial_with_names_sup,3_1b_task3 23411-23861,DROP,DROP=0.4634,WASH=0.3130,GIVE=0.3060,PICK=0.2586,HOLD=0.2370,GO=0.2104,PUT=0.0393,THROW=-0.0010,WALK=-0.0485,GET=-0.0687,OPEN=-0.0799,TAKE=-0.1599,PLAY=-0.4738,EAT=-0.4787
327,cnn_sup,3_1b_task3 23411-23861,WALK,WALK=0.5312,PUT=0.4384,PICK=0.3752,PLAY=0.2274,THROW=0.2157,WASH=0.1143,GET=-0.0964,GIVE=-0.1532,EAT=-0.2192,OPEN=-0.2780,DROP=-0.3000,HOLD=-0.4119,GO=-0.4162,TAKE=-0.4711
323,spatial_with_names_unsup,3_1b_task3 23411-23861,DROP,DROP=0.8267,GO=0.7979,WASH=0.7920,HOLD=0.7908,PICK=0.7786,THROW=0.7779,WALK=0.7775,PLAY=0.7736,PUT=0.7674,EAT=0.7491,GIVE=0.7437,TAKE=0.7373,GET=0.7343,OPEN=0.6936
322,spatial_unsup,3_1b_task3 23411-23861,DROP,DROP=0.8267,GO=0.7979,WASH=0.7920,HOLD=0.7908,PICK=0.7786,THROW=0.7779,WALK=0.7775,PLAY=0.7736,PUT=0.7674,EAT=0.7491,GIVE=0.7437,TAKE=0.7373,GET=0.7343,OPEN=0.6936
324,cnn_unsup,3_1b_task3 23411-23861,DROP,DROP=0.9892,GIVE=0.9866,PICK=0.9860,GO=0.9841,PUT=0.9837,TAKE=0.9831,EAT=0.9821,WASH=0.9812,GET=0.9808,HOLD=0.9802,THROW=0.9801,OPEN=0.9782,PLAY=0.9770,WALK=0.9739
325,spatial_sup,3_1b_task3 23411-23861,THROW,THROW=0.3886,HOLD=0.3673,PICK=0.3179,GO=0.2402,WASH=0.1482,OPEN=0.0407,TAKE=0.0262,WALK=-0.0023,GIVE=-0.0801,GET=-0.1158,DROP=-0.1168,EAT=-0.1718,PUT=-0.2389,PLAY=-0.6679
328,rand,3_1b_task3 23411-23861,DROP,,,,,,,,,,,,,,
335,rand,3_1b_task3 23861-24311,PICK,,,,,,,,,,,,,,
329,spatial_unsup,3_1b_task3 23861-24311,GIVE,GIVE=0.8776,DROP=0.8768,WASH=0.8663,HOLD=0.8564,PUT=0.8455,WALK=0.8343,GO=0.8294,PICK=0.8273,PLAY=0.8006,EAT=0.7928,THROW=0.7874,TAKE=0.7775,GET=0.7408,OPEN=0.6697
331,cnn_unsup,3_1b_task3 23861-24311,DROP,DROP=0.9931,PICK=0.9914,PUT=0.9904,GO=0.9903,TAKE=0.9903,EAT=0.9899,HOLD=0.9881,GIVE=0.9880,THROW=0.9872,WASH=0.9870,GET=0.9864,PLAY=0.9848,OPEN=0.9837,WALK=0.9802
334,cnn_sup,3_1b_task3 23861-24311,TAKE,TAKE=0.4790,OPEN=0.4686,PICK=0.3961,WALK=0.2972,DROP=0.2487,THROW=-0.0120,PUT=-0.0941,EAT=-0.1399,HOLD=-0.1969,GO=-0.2094,WASH=-0.2561,PLAY=-0.3858,GET=-0.4257,GIVE=-0.4605
332,spatial_sup,3_1b_task3 23861-24311,HOLD,HOLD=0.6468,WASH=0.5689,PICK=0.4131,DROP=0.4090,OPEN=0.3708,GIVE=0.2987,GO=0.1593,TAKE=0.0861,EAT=0.0468,WALK=-0.2502,GET=-0.3201,THROW=-0.3379,PUT=-0.3660,PLAY=-0.5306
330,spatial_with_names_unsup,3_1b_task3 23861-24311,GIVE,GIVE=0.8776,DROP=0.8768,WASH=0.8663,HOLD=0.8564,PUT=0.8455,WALK=0.8343,GO=0.8294,PICK=0.8273,PLAY=0.8006,EAT=0.7928,THROW=0.7874,TAKE=0.7775,GET=0.7408,OPEN=0.6697
333,spatial_with_names_sup,3_1b_task3 23861-24311,PICK,PICK=0.7164,HOLD=0.6252,WASH=0.4133,GIVE=0.1917,GO=0.1110,DROP=0.0952,OPEN=0.0541,TAKE=-0.0179,EAT=-0.0464,WALK=-0.0660,PUT=-0.2453,PLAY=-0.3913,GET=-0.4257,THROW=-0.4902
342,rand,3_1b_task3 24311-24761,THROW,,,,,,,,,,,,,,
341,cnn_sup,3_1b_task3 24311-24761,OPEN,OPEN=0.4616,THROW=0.3104,GO=0.2285,PICK=0.2107,DROP=0.1493,GIVE=0.0979,HOLD=0.0683,PUT=0.0326,TAKE=-0.0376,WALK=-0.0527,PLAY=-0.1512,WASH=-0.2362,GET=-0.3239,EAT=-0.7599
340,spatial_with_names_sup,3_1b_task3 24311-24761,GIVE,GIVE=0.8200,PUT=0.4216,DROP=0.2523,WASH=0.2033,HOLD=0.1742,PICK=0.1112,GO=-0.0020,OPEN=-0.0787,TAKE=-0.1045,THROW=-0.1116,GET=-0.1315,EAT=-0.3437,PLAY=-0.3771,WALK=-0.4419
338,cnn_unsup,3_1b_task3 24311-24761,THROW,THROW=0.9976,PUT=0.9964,PICK=0.9957,PLAY=0.9952,DROP=0.9951,TAKE=0.9950,GIVE=0.9947,EAT=0.9946,GO=0.9945,GET=0.9922,HOLD=0.9913,OPEN=0.9893,WASH=0.9891,WALK=0.9885
336,spatial_unsup,3_1b_task3 24311-24761,WASH,WASH=0.8787,DROP=0.8768,HOLD=0.8757,GIVE=0.8709,WALK=0.8599,GO=0.8448,PICK=0.8390,THROW=0.8376,PUT=0.8361,EAT=0.8112,TAKE=0.8091,PLAY=0.8007,GET=0.7791,OPEN=0.7319
339,spatial_sup,3_1b_task3 24311-24761,THROW,THROW=0.4803,GIVE=0.4503,TAKE=0.2498,EAT=0.2250,OPEN=0.1620,HOLD=0.0906,PUT=0.0816,PICK=0.0237,GO=-0.0163,WASH=-0.0460,GET=-0.0743,PLAY=-0.3987,DROP=-0.5805,WALK=-0.6106
337,spatial_with_names_unsup,3_1b_task3 24311-24761,WASH,WASH=0.8787,DROP=0.8768,HOLD=0.8757,GIVE=0.8709,WALK=0.8599,GO=0.8448,PICK=0.8390,THROW=0.8376,PUT=0.8361,EAT=0.8112,TAKE=0.8091,PLAY=0.8007,GET=0.7791,OPEN=0.7319
347,spatial_with_names_sup,3_1b_task4 24937-25387,GO,GO=0.6127,HOLD=0.4338,PUT=0.2681,WALK=0.1299,GET=0.1273,DROP=0.0247,EAT=0.0226,GIVE=-0.0404,WASH=-0.1744,OPEN=-0.2278,PICK=-0.2693,TAKE=-0.3115,THROW=-0.4464,PLAY=-0.5235
346,spatial_sup,3_1b_task4 24937-25387,EAT,EAT=0.6778,OPEN=0.5107,GO=0.3701,GET=0.3069,PUT=0.0955,GIVE=0.0260,HOLD=0.0115,PLAY=0.0099,WASH=-0.2036,THROW=-0.2379,TAKE=-0.2742,DROP=-0.2936,WALK=-0.4204,PICK=-0.4748
343,spatial_unsup,3_1b_task4 24937-25387,THROW,THROW=0.0086,GIVE=0.0071,PLAY=0.0062,PUT=0.0061,EAT=0.0053,WALK=0.0045,GO=0.0045,GET=0.0040,TAKE=0.0039,WASH=0.0037,PICK=0.0036,OPEN=0.0036,DROP=0.0036,HOLD=0.0023
348,cnn_sup,3_1b_task4 24937-25387,PUT,PUT=0.7885,WALK=0.3833,TAKE=0.3169,DROP=0.1987,GIVE=-0.0575,WASH=-0.0755,EAT=-0.1037,PLAY=-0.1376,THROW=-0.1663,HOLD=-0.1811,PICK=-0.2717,GET=-0.2849,OPEN=-0.2985,GO=-0.4473
345,cnn_unsup,3_1b_task4 24937-25387,THROW,THROW=0.9958,PLAY=0.9944,GIVE=0.9937,PUT=0.9932,EAT=0.9921,TAKE=0.9914,GO=0.9914,PICK=0.9908,DROP=0.9904,HOLD=0.9902,OPEN=0.9885,GET=0.9879,WALK=0.9845,WASH=0.9843
349,rand,3_1b_task4 24937-25387,GIVE,,,,,,,,,,,,,,
344,spatial_with_names_unsup,3_1b_task4 24937-25387,THROW,THROW=0.0087,GIVE=0.0071,PUT=0.0062,EAT=0.0062,PLAY=0.0060,WALK=0.0049,GO=0.0048,TAKE=0.0042,WASH=0.0038,PICK=0.0038,DROP=0.0038,OPEN=0.0036,GET=0.0035,HOLD=0.0023
351,spatial_with_names_unsup,3_1b_task4 25387-25837,OPEN,OPEN=0.9420,GET=0.9229,THROW=0.9084,TAKE=0.9071,EAT=0.8927,WALK=0.8857,PICK=0.8706,GO=0.8654,HOLD=0.8619,PLAY=0.8591,PUT=0.8424,WASH=0.8413,DROP=0.8164,GIVE=0.7462
350,spatial_unsup,3_1b_task4 25387-25837,OPEN,OPEN=0.9420,GET=0.9229,THROW=0.9084,TAKE=0.9071,EAT=0.8927,WALK=0.8857,PICK=0.8706,GO=0.8654,HOLD=0.8619,PLAY=0.8591,PUT=0.8424,WASH=0.8413,DROP=0.8164,GIVE=0.7462
356,rand,3_1b_task4 25387-25837,EAT,,,,,,,,,,,,,,
355,cnn_sup,3_1b_task4 25387-25837,THROW,THROW=0.5188,PUT=0.4483,PICK=0.3356,GET=0.3155,GIVE=0.1603,HOLD=0.0457,WASH=0.0134,WALK=-0.0813,OPEN=-0.0995,PLAY=-0.1023,TAKE=-0.1092,DROP=-0.4592,GO=-0.4641,EAT=-0.5533
354,spatial_with_names_sup,3_1b_task4 25387-25837,THROW,THROW=0.7170,TAKE=0.5418,PICK=0.3006,GIVE=0.2122,DROP=0.1206,OPEN=0.0689,WASH=0.0045,PLAY=-0.0140,HOLD=-0.1149,GET=-0.1620,PUT=-0.2239,EAT=-0.2787,GO=-0.3012,WALK=-0.3330
352,cnn_unsup,3_1b_task4 25387-25837,THROW,THROW=0.9953,PLAY=0.9935,PUT=0.9920,GIVE=0.9911,PICK=0.9907,DROP=0.9903,TAKE=0.9900,GO=0.9895,EAT=0.9895,GET=0.9877,OPEN=0.9869,WALK=0.9843,HOLD=0.9838,WASH=0.9824
353,spatial_sup,3_1b_task4 25387-25837,THROW,THROW=0.7293,TAKE=0.4463,GIVE=0.3420,PICK=0.2271,DROP=0.1052,WASH=0.0466,OPEN=0.0203,GET=0.0099,HOLD=-0.0662,PLAY=-0.1248,PUT=-0.2103,GO=-0.2649,WALK=-0.3794,EAT=-0.4267
359,cnn_unsup,3_1b_task4 25837-26287,PLAY,PLAY=0.9944,THROW=0.9937,PUT=0.9923,EAT=0.9916,DROP=0.9912,GIVE=0.9911,TAKE=0.9908,GO=0.9908,PICK=0.9907,OPEN=0.9886,GET=0.9884,HOLD=0.9880,WALK=0.9870,WASH=0.9841
362,cnn_sup,3_1b_task4 25837-26287,WALK,WALK=0.5001,PICK=0.3711,HOLD=0.2611,WASH=0.1537,GIVE=0.1503,THROW=0.1388,GO=0.1176,EAT=0.0082,PLAY=-0.1587,PUT=-0.1729,GET=-0.1734,OPEN=-0.4383,DROP=-0.4824,TAKE=-0.6260
363,rand,3_1b_task4 25837-26287,HOLD,,,,,,,,,,,,,,
358,spatial_with_names_unsup,3_1b_task4 25837-26287,DROP,DROP=0.7654,GIVE=0.7614,PUT=0.7606,PLAY=0.7315,WASH=0.7311,GO=0.7293,PICK=0.7225,HOLD=0.7025,EAT=0.6881,WALK=0.6624,TAKE=0.6600,THROW=0.6525,GET=0.6505,OPEN=0.5776
361,spatial_with_names_sup,3_1b_task4 25837-26287,PLAY,PLAY=0.6829,PUT=0.5679,GET=0.3151,GIVE=0.2730,WALK=0.1187,THROW=0.0639,DROP=0.0437,OPEN=-0.0096,GO=-0.0932,TAKE=-0.3823,PICK=-0.4073,WASH=-0.4605,EAT=-0.5245,HOLD=-0.6232
360,spatial_sup,3_1b_task4 25837-26287,PUT,PUT=0.5317,PLAY=0.5066,GET=0.3845,GIVE=0.2925,THROW=0.1992,DROP=-0.1211,GO=-0.1267,OPEN=-0.1448,WALK=-0.1825,PICK=-0.2693,TAKE=-0.3534,EAT=-0.4071,WASH=-0.4452,HOLD=-0.7737
357,spatial_unsup,3_1b_task4 25837-26287,DROP,DROP=0.7654,GIVE=0.7614,PUT=0.7606,PLAY=0.7315,WASH=0.7311,GO=0.7293,PICK=0.7225,HOLD=0.7025,EAT=0.6881,WALK=0.6624,TAKE=0.6600,THROW=0.6525,GET=0.6505,OPEN=0.5776
370,rand,3_1b_task4 26287-26737,PUT,,,,,,,,,,,,,,
364,spatial_unsup,3_1b_task4 26287-26737,PUT,PUT=0.7528,GET=0.7426,GIVE=0.7423,GO=0.7341,PICK=0.7323,PLAY=0.7268,TAKE=0.7248,EAT=0.7241,OPEN=0.7188,WASH=0.7176,THROW=0.7166,DROP=0.7102,HOLD=0.6897,WALK=0.6532
367,spatial_sup,3_1b_task4 26287-26737,PUT,PUT=0.6522,THROW=0.5717,GIVE=0.2495,GET=0.1681,GO=0.1091,EAT=-0.1177,PLAY=-0.1718,DROP=-0.2323,WALK=-0.2403,OPEN=-0.2579,TAKE=-0.2693,HOLD=-0.3985,WASH=-0.5011,PICK=-0.5115
369,cnn_sup,3_1b_task4 26287-26737,WASH,WASH=0.4869,THROW=0.3959,GET=0.3256,HOLD=0.3220,DROP=0.2753,PLAY=0.1743,WALK=0.1601,TAKE=0.1451,PUT=0.1009,OPEN=-0.0219,PICK=-0.0659,GO=-0.4204,GIVE=-0.5119,EAT=-0.5291
368,spatial_with_names_sup,3_1b_task4 26287-26737,PUT,PUT=0.6459,THROW=0.5601,GIVE=0.2105,GET=0.1822,GO=0.1169,WALK=0.0043,PLAY=-0.0564,EAT=-0.2098,TAKE=-0.2295,OPEN=-0.2543,DROP=-0.2617,WASH=-0.4195,HOLD=-0.5342,PICK=-0.5933
366,cnn_unsup,3_1b_task4 26287-26737,PLAY,PLAY=0.9960,DROP=0.9943,THROW=0.9943,OPEN=0.9940,PUT=0.9938,PICK=0.9937,TAKE=0.9936,EAT=0.9936,GO=0.9930,GIVE=0.9912,GET=0.9905,HOLD=0.9905,WALK=0.9883,WASH=0.9867
365,spatial_with_names_unsup,3_1b_task4 26287-26737,PUT,PUT=0.7528,GET=0.7426,GIVE=0.7423,GO=0.7341,PICK=0.7323,PLAY=0.7268,TAKE=0.7248,EAT=0.7241,OPEN=0.7188,WASH=0.7176,THROW=0.7166,DROP=0.7102,HOLD=0.6897,WALK=0.6532
371,spatial_unsup,3_1b_task4 26737-27187,GIVE,GIVE=0.7215,PUT=0.6374,WASH=0.6265,DROP=0.6062,HOLD=0.5974,PICK=0.5844,GO=0.5684,WALK=0.5587,EAT=0.5569,PLAY=0.5492,TAKE=0.5446,THROW=0.5121,GET=0.4982,OPEN=0.4212
374,spatial_sup,3_1b_task4 26737-27187,PLAY,PLAY=0.5267,WASH=0.1865,THROW=0.1837,WALK=0.1803,DROP=0.1798,PUT=0.1598,GIVE=0.1131,GO=0.0533,TAKE=0.0079,EAT=-0.1697,HOLD=-0.4130,PICK=-0.4518,OPEN=-0.4668,GET=-0.5174
